trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason
59,long,2021-01-29 10:30:00+00:00,2021-01-29 14:00:00+00:00,0.03048489706347947,0.0384975947342191,215.3138959190921,56.59343866952421,0.2368452855110013,0.0,False,0.027680286533639357,0.0,56.35659338401321,1076.5694795954605,1132.9260729794737,long_exit_LH
60,long,2021-01-29 17:00:00+00:00,2021-01-29 17:15:00+00:00,0.035574912037416376,0.035219652269653984,226.58521459589477,-2.2627353408791557,0.24924373605548425,0.0,False,0.03230202012997407,0.0,-2.51197907693464,1132.9260729794737,1130.414093902539,STOP_LOSS
61,short,2021-01-29 17:15:00+00:00,2021-01-29 17:30:00+00:00,0.034470310413284536,0.03446646916557392,226.08281878050778,0.025193858124206492,0.24869110065855857,0.0,False,0.03764157897130672,0.0,-0.22349724253435208,1130.414093902539,1130.1905966600045,STOP_LOSS
62,short,2021-01-29 20:45:00+00:00,2021-01-29 22:15:00+00:00,0.033513466152928634,0.033525628243264494,226.03811933200092,-0.08202959413744325,0.248641931265201,0.0,False,0.03659670503899807,0.0,-0.3306715254026443,1130.1905966600045,1129.8599251346018,short_exit_LB
63,long,2021-01-29 22:15:00+00:00,2021-01-29 22:45:00+00:00,0.033525628115044295,0.0332017225670808,225.97198502692035,-2.183212776308822,0.2485691835296124,0.0,False,0.03044127032846022,0.0,-2.431781959838434,1129.8599251346018,1127.4281431747634,long_exit_LH
64,short,2021-01-29 22:45:00+00:00,2021-01-29 23:45:00+00:00,0.0332017235037574,0.03353303976907016,225.48562863495266,-2.2500957323067463,0.24803419149844794,0.0,False,0.03625628206610308,0.0,-2.498129923805194,1127.4281431747634,1124.9300132509582,STOP_LOSS
65,short,2021-01-30 06:00:00+00:00,2021-01-30 09:00:00+00:00,0.03155539207846257,0.031191078074502183,224.98600265019164,2.597513326937163,0.24748460291521082,0.022498600265019163,False,0.03445848814968113,0.0,2.3725273242869713,1124.9300132509582,1127.302540575245,short_exit_LB
66,long,2021-01-30 16:15:00+00:00,2021-01-30 17:00:00+00:00,0.03177619101193867,0.03195516128098325,225.460508115049,1.2698415546759243,0.24800655892655393,0.0,False,0.028852781438840312,0.0,1.0218349957493704,1127.302540575245,1128.3243755709943,long_exit_LH
67,long,2021-01-30 21:00:00+00:00,2021-01-30 22:45:00+00:00,0.03180608654420184,0.03191620489739061,225.66487511419888,0.7812921085274135,0.2482313626256188,0.0,False,0.02887992658213527,0.0,0.5330607459017946,1128.3243755709943,1128.8574363168962,long_exit_LH
68,short,2021-01-30 22:45:00+00:00,2021-01-30 23:30:00+00:00,0.031916204470453,0.031826299366890576,225.77148726337924,0.635978158450758,0.24834863598971718,0.0,False,0.03485249528173468,0.0,0.3876295224610408,1128.8574363168962,1129.2450658393573,short_exit_LB
69,long,2021-01-30 23:30:00+00:00,2021-01-31 00:00:00+00:00,0.03182629968438101,0.03192830581005967,225.84901316787148,0.72386620656716,0.24843391448465865,0.0,False,0.02889828011341796,0.0,0.4754322920825014,1129.2450658393573,1129.7204981314399,long_exit_LH
70,short,2021-01-31 02:00:00+00:00,2021-01-31 03:30:00+00:00,0.03198363565288292,0.03162136662910681,225.944099626288,2.5592008765960377,0.2485385095889168,0.0,False,0.03492613013294815,0.0,2.310662367007121,1129.7204981314399,1132.031160498447,short_exit_LB
71,long,2021-01-31 03:30:00+00:00,2021-01-31 04:30:00+00:00,0.031621368667700385,0.031554750408343914,226.4062320996894,-0.47698090643827307,0.24904685530965834,0.0,False,0.02871220275027195,0.0,-0.7260277617479314,1132.031160498447,1131.305132736699,long_exit_LH
72,short,2021-01-31 04:30:00+00:00,2021-01-31 05:45:00+00:00,0.031554751060332176,0.03144725395326622,226.2610265473398,0.7708001165691017,0.24888712920207381,0.0,False,0.03445778815788274,0.0,0.521912987367028,1131.305132736699,1131.827045724066,short_exit_LB
73,short,2021-01-31 06:45:00+00:00,2021-01-31 07:15:00+00:00,0.031145639689952022,0.03148051351720121,226.36540914481319,-2.4338511480824265,0.2490019500592945,0.0,False,0.03401103854142761,0.0,-2.682853098141721,1131.827045724066,1129.1441926259242,short_exit_LB
74,long,2021-01-31 10:30:00+00:00,2021-01-31 10:45:00+00:00,0.032898002141104325,0.03245858324331136,225.82883852518484,-3.016397740172024,0.24841172237770334,0.0,False,0.029871385944122728,0.0,-3.2648094625497275,1129.1441926259242,1125.8793831633745,STOP_LOSS
75,short,2021-01-31 17:00:00+00:00,2021-01-31 19:00:00+00:00,0.031893177956515056,0.031612903125466246,225.1758766326749,1.9788285402458146,0.2476934642959424,0.0,False,0.034827350328514445,0.0,1.7311350759498723,1125.8793831633745,1127.6105182393244,short_exit_LB
76,long,2021-02-01 00:15:00+00:00,2021-02-01 02:15:00+00:00,0.03178195037842304,0.032344008990331595,225.5221036478649,3.988321642370704,0.2480743140126514,0.0,False,0.028858010943608122,0.0,3.740247328358053,1127.6105182393244,1131.3507655676824,long_exit_LH
