trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason,stop_streak
21,short,2021-01-23 02:15:00+00:00,2021-01-23 03:15:00+00:00,0.028438044919839645,0.028604465574361113,201.13422815858513,-1.1770461011358058,0.20113422815858514,0.0,False,0.031068564074924813,0.0,-1.3781803292943908,1005.6711407929257,1004.2929604636313,short_exit_LB,0
22,long,2021-01-23 03:15:00+00:00,2021-01-23 07:30:00+00:00,0.028604454379200995,0.029006286137489706,200.85859209272627,2.8216361045747647,0.20085859209272627,0.0,False,0.025958542349124904,0.0,2.6207775124820385,1004.2929604636313,1006.9137379761133,long_exit_LH,0
23,short,2021-01-23 18:15:00+00:00,2021-01-23 18:45:00+00:00,0.028855091112919954,0.029055389775802333,201.38274759522267,-1.3979056559915641,0.20138274759522268,0.0,False,0.03152418704086505,0.0,-1.5992884035867867,1006.9137379761133,1005.3144495725265,short_exit_LB,0
24,long,2021-01-23 18:45:00+00:00,2021-01-23 20:00:00+00:00,0.029055381329041726,0.028992053733390838,201.0628899145053,-0.438226201498102,0.2010628899145053,0.0,False,0.026367758556105365,0.0,-0.6392890914126073,1005.3144495725265,1004.675160481114,long_exit_LH,0
25,long,2021-01-23 21:45:00+00:00,2021-01-23 22:00:00+00:00,0.029460688634926072,0.02920458748662018,200.9350320962228,-1.7467240189938404,0.20093503209622282,0.0,False,0.02673557493619541,0.0,-1.9476590510900633,1004.675160481114,1002.7275014300238,long_exit_LH,0
26,long,2021-01-23 23:15:00+00:00,2021-01-24 00:15:00+00:00,0.029135330819954813,0.029076636431241608,200.54550028600477,-0.4040076160868278,0.20054550028600476,-0.006626023329449598,False,0.02644031271910899,0.0,-0.6111791397022822,1002.7275014300238,1002.1163222903216,long_exit_LH,0
27,long,2021-01-24 03:45:00+00:00,2021-01-24 05:30:00+00:00,0.02972269601996345,0.029840732210219517,200.4232644580643,0.7959304418221163,0.2004232644580643,0.0,False,0.026973346638116832,0.0,0.5955071773640519,1002.1163222903216,1002.7118294676857,long_exit_LH,0
28,short,2021-01-24 05:30:00+00:00,2021-01-24 07:30:00+00:00,0.029840728707859428,0.030064831371819454,200.54236589353712,-1.506065045313426,0.20054236589353713,0.0,False,0.032600996113336424,0.0,-1.7066074112069631,1002.7118294676857,1001.0052220564787,short_exit_LB,0
29,long,2021-01-24 07:30:00+00:00,2021-01-24 09:45:00+00:00,0.03006481696620911,0.030113290024564667,200.20104441129575,0.32278117373869974,0.20020104441129577,-0.020020104441129578,False,0.027283821396834766,0.0,0.1025600248862744,1001.0052220564787,1001.107782081365,long_exit_LH,0
30,long,2021-01-24 10:30:00+00:00,2021-01-24 11:45:00+00:00,0.03046923638910217,0.03040729800094106,200.22155641627302,-0.40701382604943265,0.200221556416273,0.0,False,0.02765083202311022,0.0,-0.6072353824657056,1001.107782081365,1000.5005466988994,long_exit_LH,0
31,short,2021-01-24 14:15:00+00:00,2021-01-24 16:45:00+00:00,0.030125550685386086,0.02978564780061645,200.10010933977986,2.257704933516936,0.20010010933977987,0.020010010933977987,False,0.032912164123784296,0.0,2.077614835111134,1000.5005466988994,1002.5781615340105,short_exit_LB,0
32,short,2021-01-24 18:00:00+00:00,2021-01-24 19:45:00+00:00,0.029794780191668143,0.02935489559906773,200.51563230680213,2.960375497314715,0.20051563230680214,0.0,False,0.03255079735939745,0.0,2.759859865007913,1002.5781615340105,1005.3380213990184,short_exit_LB,0
33,long,2021-01-25 01:15:00+00:00,2021-01-25 04:00:00+00:00,0.029995413888565286,0.030108963942217244,201.06760427980367,0.7611576002405506,0.2010676042798037,0.0,False,0.027220838103872998,0.0,0.5600899959607468,1005.3380213990184,1005.8981113949792,long_exit_LH,0
34,long,2021-01-25 04:30:00+00:00,2021-01-25 07:30:00+00:00,0.03007146911527515,0.031434316380532776,201.17962227899585,9.117515908433623,0.20117962227899586,0.0,False,0.027289858222112197,0.0,8.916336286154626,1005.8981113949792,1014.8144476811339,long_exit_LH,0
35,long,2021-01-25 10:00:00+00:00,2021-01-25 11:30:00+00:00,0.030917572972030197,0.03086877102709723,202.96288953622678,-0.3203674417634035,0.2029628895362268,0.0,False,0.028057697472117404,0.0,-0.5233303312996302,1014.8144476811339,1014.2911173498343,long_exit_LH,0
36,short,2021-01-25 11:30:00+00:00,2021-01-25 12:15:00+00:00,0.030868777452057957,0.031223635174774996,202.85822346996684,-2.331994110449538,0.20285822346996685,0.0,False,0.03372413936637332,0.0,-2.534852333919505,1014.2911173498343,1011.7562650159148,short_exit_LB,0
37,long,2021-01-25 12:15:00+00:00,2021-01-25 13:15:00+00:00,0.031223617599893432,0.03109228581159222,202.35125300318293,-0.8511234112087478,0.20235125300318293,0.0,False,0.028335432971903288,0.0,-1.0534746642119308,1011.7562650159148,1010.7027903517029,long_exit_LH,0
38,short,2021-01-25 13:15:00+00:00,2021-01-25 15:15:00+00:00,0.031092294527041955,0.030971542365673028,202.14055807034057,0.7850468953356113,0.2021405580703406,0.0,False,0.033968331770793336,0.0,0.5829063372652707,1010.7027903517029,1011.2856966889682,short_exit_LB,0
39,short,2021-01-25 16:15:00+00:00,2021-01-25 16:45:00+00:00,0.03034313019951981,0.03059240064335988,202.25713933779363,-1.661553259701364,0.20225713933779363,0.0,False,0.033149869742975395,0.0,-1.8638103990391577,1011.2856966889682,1009.421886289929,short_exit_LB,0
40,short,2021-01-25 18:30:00+00:00,2021-01-25 22:45:00+00:00,0.030299653218350202,0.02983751142005087,201.88437725798582,3.079217061733304,0.20188437725798583,0.0,False,0.033102371141047596,0.0,2.877332684475318,1009.421886289929,1012.2992189744043,short_exit_LB,0
41,short,2021-01-25 23:30:00+00:00,2021-01-26 00:15:00+00:00,0.02951752348719353,0.02993204228650501,202.45984379488084,-2.8431725105615637,0.20245984379488086,0.020245984379488085,False,0.032247894409758934,0.0,-3.0253863699769563,1012.2992189744043,1009.2738326044274,short_exit_LB,0
42,short,2021-01-26 06:00:00+00:00,2021-01-26 07:30:00+00:00,0.029247683239804194,0.029147725476436244,201.8547665208855,0.6898649312205329,0.20185476652088552,0.0,False,0.03195309393948608,0.0,0.4880101646996474,1009.2738326044274,1009.761842769127,short_exit_LB,0
43,long,2021-01-26 07:30:00+00:00,2021-01-26 09:15:00+00:00,0.02914772794924146,0.029160235349593264,201.95236855382544,0.08665852549111423,0.20195236855382545,-0.020195236855382544,False,0.026451563113936625,0.0,-0.13548907991809375,1009.761842769127,1009.6263536892089,long_exit_LH,0
44,short,2021-01-26 09:15:00+00:00,2021-01-26 10:00:00+00:00,0.029160236309063826,0.029386023858079483,201.9252707378418,-1.5635062583511714,0.2019252707378418,0.0,False,0.031857558167652233,0.0,-1.7654315290890132,1009.6263536892089,1007.8609221601199,short_exit_LB,0
